Brand,Frecventa casti,Frecventa microfon,Impedanta,Pret
1,20000,20000,39,mediu
1,20000,6500,22,mic
1,20000,8000,45,mediu
1,20000,8000,45,mediu
1,20000,8000,45,mare
1,20000,10000,32,mediu
1,20000,10000,35,mare
1,20000,9200,28,mediu
1,20000,6500,20,mic
1,20000,20000,39,mare
1,20000,10000,36,mediu
1,20000,20000,39,mare
1,20000,10000,35,mare
1,20000,10000,35,mare
1,20000,10000,36,mediu
1,20000,10000,36,mare
2,28000,10000,36,mic
2,28000,10000,32,mediu
2,28000,10000,33,mediu
2,20000,10000,32,mare
2,28000,10000,32,mediu
2,20000,10000,32,mediu
2,20000,10000,39,mediu
2,20000,10000,33,mare
2,20000,10000,33,mare
2,20000,10000,33,mare
2,20000,10000,32,mare
2,20000,10000,32,mare
2,20000,8000,32,mare
2,20000,12000,39,mare
2,20000,6500,16,mare
2,20000,10000,32,mare
2,20000,12000,39,mare
3,25000,18000,60,mare
3,25000,12000,60,mare
3,27000,18000,65,mare
3,20000,18000,16,mare
3,25000,18000,60,mare
3,27000,18000,65,mare
3,25000,18000,41,mare
3,10000,18000,16,mic
3,21000,7200,62,mare
3,20000,10000,32,mare
3,27000,18000,65,mare
3,21000,6800,60,mare
3,23000,7500,60,mare
3,10000,18000,16,mic
3,20000,7200,65.2,mediu
3,20000,18000,16,mediu
3,27000,10000,65,mediu
4,20000,12000,32,mic
4,20000,8000,32,mediu
4,20000,12000,20,mediu
4,20000,10000,39,mediu
4,20000,6500,32,mic
4,20000,18000,32,mic
4,20000,18000,32,mic
4,20000,6000,32,mic
4,20000,6500,35,mic
4,20000,8700,35,mic
4,20000,13000,32,mic
4,20000,16000,32,mic
4,20000,8000,32,mic
5,20000,10000,32,mare
5,20000,10000,20,mediu
5,20000,8200,32,mare
5,21000,10000,32,mare
5,40000,10000,32,mediu
5,40000,10000,32,mare
5,40000,10000,35,mare
5,20000,10000,32,mediu
5,40000,8000,32,mare
6,20000,10000,32,mediu
6,40000,10000,32,mare
6,40000,10000,32,mare
6,22000,10000,32,mare
6,40000,12000,35,mare
6,20000,10000,32,mare
6,20000,6500,32,mare
